Park Unit,Total Visitor Recreation Spending,Economic Labor Income Value Added Output,Total T,otal Visitor Economic,Recreation Spending,Labor Income Value Added,Output
Glacier NP,"3,081,656","$383,738","5,975","$193,050","$297,111","$572,155"
Glen Canyon NRA,"3,144,318","$332,150","3,839","$139,418","$234,458","$409,546"
Golden Gate NRA,"13,712,614","$862,635","8,175","$546,342","$832,831","$1,194,828"
Golden Spike NHS,"52,910","$3,372",46,"$1,571","$2,687","$4,827"
Governors Island NM,"191,257","$12,450",136,"$7,434","$12,076","$18,264"
Grand Canyon NP,"4,532,677","$710,256","9,390","$324,318","$539,433","$944,693"
Grand Portage NM,"83,708","$6,007",78,"$1,896","$3,365","$6,407"
Grand Teton NP,"3,885,230","$774,059","10,544","$357,591","$560,827","$1,021,772"
Grant-Kohrs Ranch NHS,"24,476","$1,593",25,"$772","$1,138","$2,233"
Great Basin NP,"144,875","$9,120",122,"$2,634","$4,825","$9,608"
Great Sand Dunes NP&PRES,"602,613","$41,277",536,"$16,956","$29,116","$52,415"
Great Smoky Mountains NP,"14,161,548","$1,292,745","18,807","$618,010","$1,036,519","$1,845,873"
Greenbelt P,"23,893","$1,699",20,"$943","$1,551","$2,466"
Guadalupe Mountains NP,"243,291","$16,832",234,"$6,597","$10,788","$20,694"
Guilford Courthouse NMP,"211,689","$13,781",202,"$6,841","$11,253","$20,188"
Gulf Islands NS,"5,458,816","$267,728","3,483","$115,867","$193,105","$347,283"
Hagerman Fossil Beds NM,"8,236","$536",8,"$248","$411","$748"
