Park Unit,Visits ($000s, $2022),Total Recreation Spending ($000s, $2022),Jobs ($000s, $2022),Economic Labor Income Value Added ($000s, $2022),Economic Output ($000s, $2022)
Crater Lake NP,527259,51208,728,27714,42626,74757
Craters Of The Moon NM&PRES,237774,9362,124,3438,5770,11017
Cumberland Gap NHP,732916,23245,284,8010,13640,25237
Cumberland Island NS,64387,3091,41,1386,2304,4085
Curecanti NRA,992749,49301,556,19920,33071,57818
Cuyahoga Valley NP,2913312,55996,778,30380,48069,86244
Dayton Aviation Heritage NHP,81303,5362,85,3124,4999,8857
DeSoto NMEM,173150,11433,163,5835,9770,17195
Death Valley NP,1128862,104819,1228,51435,86947,139299
Delaware Water Gap NRA,4380225,167208,2329,110908,166593,266010
Denali NP&PRES,427562,474887,6641,260213,417656,713505
Devils Postpile NM,144453,10514,127,4759,7620,13127
Devils Tower NM,480713,34868,459,13824,24442,45382
Dinosaur NM,351019,23829,270,9194,15517,27064
Dry Tortugas NP,78488,5403,58,2173,3686,6123
Dwight D. Eisenhower MEM,760603,16208,203,9371,15509,24844
Edgar Allan Poe NHS,10726,708,10,434,674,1123
Perry's Victory & International Peace MEM,90988,9034,145,5660,8783,15256
Petersburg NB,180907,11946,174,5736,9655,17512
Petrified Forest NP,505209,36752,434,14026,23644,42065
Petroglyph NM,339394,15043,208,6581,10934,19945
Pictured Rocks NL,925685,45873,549,15044,26223,48775
Pinnacles NP,275023,18922,162,9962,15116,21802
Pipe Spring NM,23001,1519,21,611,1025,1924
Pipestone NM,78036,5153,72,2279,3741,6876
Piscataway P,243212,16060,195,9024,14767,23541
Point Reyes NS,2336202,116888,1119,64019,97924,149158
Port Chicago Naval Magazine NMEM,1129,75,1,44,68,105
President's Park,714224,15220,190,8800,14563,23329
President William Jefferson Clinton Birthplace Home NHS,6078,402,6,150,265,499
Prince William Forest P,294916,19149,222,10403,17010,26976
Pu'uhonua O Honaunau NHP,311441,20565,211,9564,17178,26507
Puukohola Heiau NHS,31602,2087,21,971,1743,2690
