,Percent Visitor,Spending
Piscataway P,,95.6%
Point Reyes NS,,88.4%
Port Chicago Nav,al Magazine NMEM,95.5%
President's Park,,91.6%
President William,Jefferson Clinton,95.6%
Birthplace Home,NHS,
Prince William Fo,rest P,98.7%
Pu`uhonua O Hon,aunau NHP,95.6%
Puukohola Heiau,NHS,95.6%
Rainbow Bridge N,M,95.6%
Redwood NP,,98.7%
Richmond NBP,,95.6%
Rio Grande W&S,R,100.0%
River Raisin NB,,95.6%
Rock Creek P,,91.6%
Rocky Mountain N,P,96.8%
Roger Williams N,MEM,95.6%
Rosie the Riveter,WWII Home Front,95.6%
NHP,,
Ross Lake NRA,,88.9%
Russell Cave NM,,95.6%
Sagamore Hill NH,S,95.6%
Saguaro NP,,98.7%
Saint-Gaudens N,HS,91.7%
Saint Croix Island,IHS,95.6%
Saint Croix NSR,,88.9%
Saint Paul's Chur,ch NHS,95.6%
Park Unit,from Non-Loc,al Visitors
Salem Maritim,e NHS,95.6%
Salinas Pueblo,Missions NM,95.6%
Salt River Bay,NHP&EP,95.6%
San Antonio M,issions NHP,90.1%
San Francisco,Maritime NHP,61.5%
San Juan Islan,d NHP,95.6%
San Juan NHS,,95.6%
Sand Creek M,assacre NHS,95.6%
Santa Monica,Mountains NRA,88.3%
Saratoga NHP,,95.6%
Saugus Iron W,orks NHS,95.6%
Scotts Bluff N,M,95.6%
Sequoia NP,,97.7%
Shenandoah N,P,98.8%
Shiloh NMP,,95.6%
Sitka NHP,,100.0%
Sleeping Bear,Dunes NL,97.5%
Springfield Ar,mory NHS,95.6%
Statue of Liber,ty NM,95.6%
Steamtown NH,S,93.7%
Stones River N,B,95.6%
Stonewall NM,,–
Sunset Crater,Volcano NM,95.6%
Tallgrass Prair,ie NPRES,95.6%
Thaddeus Kos,ciuszko NMEM,–
Theodore Roo,sevelt Birthplace NHS,95.6%
Theodore Roo,sevelt Inaugural NHS,95.6%
Theodore Roo,sevelt Island P,95.6%
Theodore Roo,sevelt NP,98.7%
Park Unit,from Non-Loc,al Visitors
Thomas Edison N,HP,95.6%
Thomas Jefferson,MEM,91.6%
Thomas Stone NH,S,95.6%
Timpanogos Cave,NM,95.6%
Timucuan EHP,,95.6%
Tonto NM,,95.6%
Tumacacori NHP,,95.6%
Tuskegee Airmen,NHS,95.6%
Tuskegee Institute,NHS,95.6%
Tuzigoot NM,,95.6%
Ulysses S Grant N,HS,95.6%
Upper Delaware N,SR&NRR,88.3%
Valles Caldera NP,RES,98.7%
Valley Forge NHP,,46.4%
Vanderbilt Mansio,n NHS,95.6%
Vicksburg NMP,,95.6%
Vietnam Veterans,MEM,91.6%
Virgin Islands NP,,100.0%
Voyageurs NP,,98.6%
Waco Mammoth N,M,95.6%
Walnut Canyon N,M,95.6%
War in the Pacific,NHP,95.6%
Washington Monu,ment,91.6%
Washita Battlefield,NHS,95.6%
Weir Farm NHS,,95.6%
Whiskeytown NRA,,88.4%
White House,,91.6%
White Sands NP,,98.4%
Whitman Mission,NHS,95.6%
Park Unit,from Non-Loc,al Visitors
William Howard Ta,ft NHS,95.6%
Wilson's Creek NB,,95.6%
Wind Cave NP,,97.8%
Wolf Trap National,Park for the,95.6%
Performing Arts,,
Women's Rights N,HP,100.0%
World War II Memo,rial,91.6%
World War II Valor,in the Pacific NM,98.6%
Wrangell - St Elias,NP&PRES,100.0%
Wright Brothers NM,EM,95.6%
Wupatki NM,,98.7%
Yellowstone NP,,99.4%
Yosemite NP,,96.7%
Yukon - Charley Ri,vers NPRES,100.0%
Zion NP,,97.7%
