Park Unit,State,Share
Great Smok,North Carolina,44.0%
Great Smok,Tennessee,56.0%
Gulf Islands,Florida,80.4%
Gulf Islands,Mississippi,19.6%
Hovenweep,Colorado,44.0%
Hovenweep,Utah,56.0%
Lake Mead,Arizona,25.0%
Lake Mead,Nevada,75.0%
Natchez Tra,Alabama,7.0%
Natchez Tra,Mississippi,80.0%
Natchez Tra,Tennessee,13.0%
National Cap,District of Columbia,90.0%
National Cap,Maryland,10.0%
Saint Croix N,Minnesota,50.0%
Saint Croix N,Wisconsin,50.0%
Upper Delaw,New York,50.0%
Upper Delaw,Pennsylvania,50.0%
Yellowstone,Montana,51.0%
Yellowstone,Wyoming,49.0%
