Park Unit,Visits,Spending ($000s, $2022),Jobs ($000s, $2022),Labor Income Value ($000s, $2022),Value Added ($000s, $2022),Output ($000s, $2022)
Kennesaw Mountain NBP,1322003,87294,1272,47611,79553,137541
Keweenaw NHP,15255,1007,14,311,566,1123
Kings Canyon NP,640986,60732,776,28920,46097,78599
Kings Mountain NMP,238656,10809,149,5432,8892,15573
Klondike Gold Rush AK NHP,342909,57411,869,36633,45467,74813
Klondike Gold Rush WA NHP,60423,3990,42,2023,3539,5490
Knife River Indian Villages NHS,9217,609,8,252,418,787
Kobuk Valley NP,16925,27939,392,15292,24401,41810
Korean War Veterans MEM,4010009,112205,1499,71363,114558,174570
Lake Chelan NRA,38207,3047,30,1524,2691,4074
Lake Clark NP&PRES,18187,30024,421,16433,26222,44930
Lake Mead NRA,5578226,279845,3021,125518,210505,342944
Lake Meredith NRA,1276717,31286,240,7623,11772,22364
Lake Roosevelt NRA,1128725,56623,649,23024,41238,70394
Lassen Volcanic NP,446291,30014,371,12738,20341,35786
Lava Beds NM,130969,6448,74,2597,4032,7208
Lewis and Clark NHP,279924,18484,242,9970,16273,27315
