Region,"Total Recreation
Visits","Total Visitor
Spending
($Billions, $2018)",Jobs,"Labor Income
($Billions, $2018)","Value Added
($Billions, $2018)","Economic Output
($Billions, $2018)"
Alaska,"2,920,250",$1.36,"17,760",$0.66,$1.18,$1.98
Intermountain,"55,714,994",$4.98,"73,560",$2.66,$4.62,$7.85
Midwest,"21,818,555",$1.36,"21,133",$0.72,$1.25,$2.17
National Capital,"54,174,139",$1.07,"14,984",$0.58,$0.98,$1.58
Northeast,"57,039,307",$3.29,"45,852",$1.93,$3.29,$5.24
Pacific West,"63,353,196",$4.21,"56,245",$2.48,$4.19,$6.70
Southeast,"63,191,386",$3.92,"59,242",$2.01,$3.51,$6.08
